,country,diversity,year
3025251,SUR,90,1997
3030268,SVK,1009,1997
3035285,SVN,1175,1997
3040302,SWE,1084,1997
3045319,SYC,112,1997
3050336,SYR,211,1997
3055353,TCA,112,1997
3060370,TCD,32,1997
3065387,TGO,292,1997
3070404,THA,1046,1997
3075421,TJK,224,1997
3080438,TKL,154,1997
3085455,TKM,87,1997
3090472,TLS,33,1997
3095489,TON,67,1997
3100506,TTO,318,1997
3105523,TUN,588,1997
3110540,TUR,1219,1997
3115557,TUV,41,1997
3120574,TZA,307,1997
3125591,UGA,227,1997
3130608,UKR,815,1997
3135625,URY,504,1997
3140642,USA,1757,1997
3145659,UZB,249,1997
3150676,VCT,235,1997
3155693,VEN,282,1997
3160710,VGB,143,1997
3165727,VNM,564,1997
3170744,VUT,52,1997
3175761,WLF,20,1997
3180778,WSM,52,1997
3185795,YEM,50,1997
3190812,ZA1,857,1997
3195829,ZMB,228,1997
3200846,ZWE,323,1997
3205863,ABW,59,1998
3210879,AFG,142,1998
3215895,AGO,22,1998
3220911,AIA,122,1998
3225927,ALB,518,1998
3230943,AND,412,1998
3235959,ANT,183,1998
3240975,ARE,401,1998
3245991,ARG,556,1998
3251007,ARM,318,1998
3256023,ATF,10,1998
3261039,ATG,169,1998
3266055,AUS,690,1998
3271071,AUT,1444,1998
3276087,AZE,332,1998
3281103,BDI,55,1998
3286119,BEL,1555,1998
3291135,BEN,180,1998
3296151,BFA,188,1998
3301167,BGD,369,1998
3306183,BGR,1083,1998
3311199,BHR,188,1998
3316215,BHS,284,1998
3321231,BIH,511,1998
3326247,BLR,912,1998
3331263,BLZ,208,1998
3336279,BMU,94,1998
3341295,BOL,218,1998
3346311,BRA,771,1998
3351327,BRB,408,1998
3356343,BRN,117,1998
3361359,BTN,122,1998
3366375,CAF,81,1998
3371391,CAN,869,1998
3376407,CCK,75,1998
3381423,CHE,1208,1998
3386439,CHL,453,1998
3391455,CHN,1675,1998
3396471,CIV,271,1998
3401487,CMR,97,1998
3406503,COD,63,1998
3411519,COG,63,1998
3416535,COK,144,1998
3421551,COL,539,1998
3426567,COM,68,1998
3431583,CPV,144,1998
3436599,CRI,454,1998
3441615,CUB,125,1998
3446631,CXR,33,1998
3451647,CYM,91,1998
3456663,CYP,616,1998
3461679,CZE,1511,1998
3466695,DEU,2062,1998
3471711,DJI,175,1998
3476727,DMA,253,1998
3481743,DNK,1198,1998
3486759,DOM,286,1998
3491775,DZA,74,1998
3496791,ECU,276,1998
3501807,EGY,652,1998
3506823,ERI,137,1998
3511839,ESP,1571,1998
3516855,EST,830,1998
3521871,ETH,114,1998
3526887,FIN,764,1998
3531903,FJI,275,1998
3536919,FLK,63,1998
3541935,FRA,1743,1998
3546951,FSM,38,1998
3551967,GAB,56,1998
3556983,GBR,1651,1998
3561999,GEO,448,1998
3567015,GHA,219,1998
3572031,GIB,167,1998
3577047,GIN,75,1998
3582063,GMB,174,1998
3587079,GNB,44,1998
3592095,GNQ,27,1998
3597111,GRC,1059,1998
3602127,GRD,132,1998
3607143,GRL,59,1998
3612159,GTM,592,1998
3617175,GUY,160,1998
3622191,HKG,1318,1998
3627207,HND,399,1998
3632223,HRV,833,1998
3637239,HTI,176,1998
3642255,HUN,1022,1998
3647271,IDN,1043,1998
3652287,IND,1458,1998
3657303,IOT,58,1998
3662319,IRL,557,1998
3667335,IRN,283,1998
3672351,IRQ,10,1998
3677367,ISL,243,1998
3682383,ISR,814,1998
3687399,ITA,2063,1998
3692415,JAM,228,1998
3697431,JOR,407,1998
3702447,JPN,1227,1998
3707463,KAZ,298,1998
3712479,KEN,585,1998
3717495,KGZ,313,1998
3722511,KHM,196,1998
3727527,KIR,44,1998
3732543,KNA,94,1998
3737559,KOR,1075,1998
3742575,KWT,63,1998
3747591,LAO,187,1998
3752607,LBN,861,1998
3757623,LBR,31,1998
3762639,LBY,60,1998
3767655,LCA,172,1998
3772671,LKA,508,1998
3777687,LTU,840,1998
3782703,LVA,687,1998
3787719,MAC,425,1998
3792735,MAR,599,1998
3797751,MDA,493,1998
3802767,MDG,356,1998
3807783,MDV,81,1998
3812799,MEX,782,1998
3817815,MHL,30,1998
3822831,MKD,672,1998
3827847,MLI,153,1998
3832863,MLT,291,1998
3837879,MMR,292,1998
3842895,MNG,211,1998
3847911,MNP,71,1998
3852927,MOZ,161,1998
3857943,MRT,71,1998
3862959,MSR,93,1998
3867975,MUS,447,1998
3872991,MWI,214,1998
3878007,MYS,635,1998
3883023,NCL,46,1998
3888039,NER,158,1998
3893055,NFK,28,1998
3898071,NGA,103,1998
3903087,NIC,272,1998
3908103,NIU,36,1998
3913119,NLD,1443,1998
3918135,NOR,591,1998
3923151,NPL,373,1998
3928167,NRU,75,1998
3933183,NZL,688,1998
3938199,OMN,270,1998
3943215,PAK,569,1998
3948231,PAN,784,1998
3953247,PCN,29,1998
3958263,PER,467,1998
3963279,PHL,512,1998
3968295,PLW,52,1998
3973311,PNG,114,1998
3978327,POL,1263,1998
3983343,PRK,726,1998
3988359,PRT,1067,1998
3993375,PRY,222,1998
3998391,PUS,254,1998
4003407,PYF,130,1998
4008423,QAT,54,1998
4013439,ROU,953,1998
4018455,RUS,653,1998
4023471,RWA,77,1998
4028487,S19,1457,1998
4033503,SAU,273,1998
4038519,SCG,875,1998
4043535,SDN,146,1998
4048551,SEN,361,1998
4053567,SGP,703,1998
4058583,SHN,154,1998
4063599,SLB,63,1998
4068615,SLE,190,1998
4073631,SLV,570,1998
4078647,SOM,81,1998
4083663,SPM,117,1998
4088679,STP,98,1998
4093695,SUR,83,1998
4098711,SVK,929,1998
4103727,SVN,1139,1998
4108743,SWE,1073,1998
4113759,SYC,113,1998
4118775,SYR,349,1998
4123791,TCA,184,1998
4128807,TCD,36,1998
4133823,TGO,283,1998
4138839,THA,1073,1998
4143855,TJK,234,1998
4148871,TKL,162,1998
4153887,TKM,171,1998
4158903,TLS,42,1998
4163919,TON,67,1998
4168935,TTO,349,1998
4173951,TUN,609,1998
4178967,TUR,1234,1998
4183983,TUV,29,1998
4188999,TZA,408,1998
4194015,UGA,207,1998
4199031,UKR,782,1998
4204047,URY,491,1998
4209063,USA,1710,1998
4214079,UZB,263,1998
4219095,VCT,252,1998
4224111,VEN,306,1998
4229127,VGB,177,1998
4234143,VNM,555,1998
4239159,VUT,59,1998
4244175,WLF,16,1998
4249191,WSM,40,1998
4254207,YEM,76,1998
4259223,ZA1,860,1998
4264239,ZMB,303,1998
4269255,ZWE,367,1998
4274271,ABW,32,1999
4279288,AFG,165,1999
4284305,AGO,15,1999
4289322,AIA,103,1999
4294339,ALB,554,1999
4299356,AND,456,1999
4304373,ANT,230,1999
4309390,ARE,410,1999
4314407,ARG,594,1999
4319424,ARM,356,1999
4324441,ATF,16,1999
4329458,ATG,412,1999
4334475,AUS,764,1999
4339492,AUT,1447,1999
4344509,AZE,237,1999
4349526,BDI,59,1999
4354543,BEL,1557,1999
4359560,BEN,178,1999
4364577,BFA,227,1999
4369594,BGD,286,1999
4374611,BGR,1049,1999
4379628,BHR,174,1999
4384645,BHS,253,1999
4389662,BIH,565,1999
4394679,BLR,867,1999
4399696,BLZ,166,1999
4404713,BMU,80,1999
4409730,BOL,241,1999
4414747,BRA,823,1999
4419764,BRB,389,1999
4424781,BRN,64,1999
4429798,BTN,128,1999
4434815,CAF,101,1999
4439832,CAN,868,1999
4444849,CCK,93,1999
4449866,CHE,1221,1999
4454883,CHL,463,1999
4459900,CHN,1702,1999
4464917,CIV,276,1999
4469934,CMR,106,1999
4474951,COD,48,1999
4479968,COG,49,1999
4484985,COK,125,1999
4490002,COL,506,1999
