,country,log_likelihood,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
104,AFG,2.588976651552457,27,52.118120377867896,-0.0192413330078125,1,1
105,AZE,1.4356544712698849,30,53.84595206314568,-0.01324462890625,1,1
106,PSE,2.0708418250324505,37,57.00519610265154,-0.00682830810546875,1,1
107,ATG,1.829899806430321,34,53.56825167469593,-0.005084991455078125,1,1
108,TKL,1.2227318434548127,39,53.54543193352998,0.0007886886596679688,1,1
109,IRN,1.705286176239434,31,54.450725031670395,0.0295257568359375,1,1
110,MDV,1.7578809332462901,32,49.52243150171168,0.0401611328125,1,1
111,CYM,3.1561892033921937,35,52.44401871267839,0.041290283203125,1,1
112,CRI,1.5486247968568987,32,56.870509200741296,0.0430908203125,1,1
113,TTO,3.288312669752394,27,49.853452967285975,0.052703857421875,1,1
114,BHR,2.0524724168935644,31,54.2419571220524,0.06396484375,1,1
115,PCN,2.4692827253729135,52,56.53822553834719,0.0714111328125,1,1
116,ARE,1.4123869504943025,28,51.327209127805595,0.07305908203125,1,1
117,TUR,0.6418036738822884,29,51.48546390445496,0.09381103515625,1,1
118,GUM,1.833108013311206,27,49.94381420953051,0.1229248046875,1,1
119,BTN,1.9694866270202203,45,56.94210269517602,0.123291015625,1,1
120,COL,1.5313504862138314,41,55.97023650669425,0.12481689453125,1,1
121,THA,0.6676412329533363,37,56.81715604305262,0.1356201171875,1,1
122,DZA,3.7905003822971173,22,51.20348110463196,0.1585693359375,1,1
123,TLS,1.5558088467508733,38,53.365244037717915,0.169189453125,1,1
124,SWZ,1.9590796813117501,31,54.8228809180701,0.1827392578125,1,1
125,HKG,0.6868898592217844,39,56.907881546241406,0.1966552734375,1,1
126,NCL,3.5862820033532965,41,55.38965116762246,0.2069091796875,1,1
127,LBN,1.0925954551420558,33,51.98472973416417,0.2080078125,1,1
128,TCA,1.55267025549897,26,50.55347385046498,0.2125244140625,1,1
129,BGR,0.6225807308855342,29,52.34842432118193,0.25341796875,1,1
130,GRC,0.8534733492827568,38,54.60024599488279,0.258056640625,1,1
131,CPV,2.366124330625913,21,49.884282326785964,0.26416015625,1,1
132,DJI,1.6445723905204368,17,50.51075891229187,0.2685546875,1,1
133,GRD,2.3019184773525865,35,52.217900100871084,0.274658203125,1,1
134,CHL,1.5354909969060906,32,53.066143911888716,0.278564453125,1,1
135,BHS,2.271757198910585,26,50.703988839287895,0.287109375,1,1
136,ATF,3.3528400274859447,32,50.97539805851438,0.2900390625,1,1
137,BMU,2.3203277547489356,33,53.42009557027558,0.294189453125,1,1
138,URY,1.1248911948509965,34,53.564397244642926,0.294921875,1,1
139,PRT,0.521663224467605,45,52.953094765283346,0.302978515625,1,1
140,BIH,1.227881267756455,29,54.9443059035682,0.304931640625,1,1
141,KWT,2.3281390227074756,37,53.657006855919924,0.310546875,1,1
142,IND,0.6329740737712033,39,54.244447044041316,0.32470703125,1,1
143,ROU,0.736272323512592,32,51.83902210160944,0.341064453125,1,1
144,VGB,2.0952433543834794,24,54.42920052283558,0.358154296875,1,1
145,GIB,1.532361466387003,55,56.59643535862055,0.369384765625,1,1
146,KAZ,2.1385339869307733,36,57.12640732706297,0.376708984375,1,1
