country,kl_divergence,clarity,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
TCA,1.7837233140146342,0.04218174652570161,22,63.70431573233771,0.31505823,1,2.0
BIH,0.9262949645657119,0.11077631548743283,27,63.45080266703779,0.31623298,0,1.0
ZAF,0.7025820079322903,0.040350905164379225,26,65.6578502787351,0.3235589,-3,1.0
VCT,2.1836493378630246,0.07335442654560698,27,63.96478854969873,0.35400742,0,4.0
BLM,2.0079067541244715,0.1377443923832785,34,60.70291720944585,0.3625763,0,1.0
CUW,1.3986947189142762,0.02766185382419062,33,64.15321264904716,0.3670089,0,0.5
SYC,1.6313067720074788,0.08257083854514746,22,64.03782727616245,0.38504204,0,4.0
MNE,2.080768821914412,0.18340710010986905,32,63.14605682344957,0.38601205,0,3.0
PRT,0.5888172819559357,0.05646364000178439,37,64.70285349223649,0.38821185,-3,4.0
BRB,0.9229348330658951,0.11382511929863004,27,65.47471511350217,0.3967937,1,1.0
KWT,1.8341346164491086,0.16593332957787488,28,65.42954164551522,0.39684647,1,4.0
QAT,2.257624026085171,0.05851681108920792,38,63.780336552740664,0.4023397,1,2.0
ARG,1.0280848976473678,0.15867468467341206,36,64.69348306794319,0.40438524,0,1.0
BGR,0.6953883082551249,0.11438097040152029,18,64.1101802227338,0.40729833,0,0.5
ATG,1.9535893169450427,0.05556641117415062,31,63.46400843940129,0.4366196,0,1.0
BHS,2.066241245550378,0.22767423051899904,27,65.59579796546173,0.4388939,0,2.0
CYP,1.7745799659518886,0.11715397980175879,25,63.85683717675033,0.439909,1,3.0
BMU,1.8138764000047183,0.08877754502413693,29,65.68199018878086,0.44658217,0,2.0
IND,0.5283042718395919,0.0959293958916998,35,65.69835265917003,0.47305417,1,1.0
NZL,0.6845563713213606,0.049105317108681934,30,63.940437704815125,0.50420606,1,1.0
GUM,2.0347167512887867,0.12971779581308884,27,62.3368545155472,0.5200496,1,2.0
TUV,2.877400388310152,0.18461230214240987,29,62.24731363689351,0.5630634,0,3.0
SRB,1.0982720649037079,0.10552644453636495,24,62.76948755264408,0.57953227,0,1.0
PHL,0.7882374054031057,0.14098107618548317,23,66.60183934003324,0.58171636,0,1.0
CXR,2.6785364808831615,0.2334472434399545,28,62.138035951193,0.6043009,0,2.0
ASM,1.6438173360123678,0.01623521783561288,26,65.01589380889173,0.6533555,1,1.0
HRV,0.70309568819047,0.0991626464346036,25,63.67087257853941,0.6663558,0,0.5
AND,1.3013933955464227,0.015489340618780822,29,62.208871970934545,0.6664063,-9,1.0
LTU,0.534871608400632,0.13628917039609745,33,65.6420281135884,0.68406296,1,1.0
SMR,1.282502028096505,0.06130616118653265,25,66.01397915211277,0.69112444,-3,3.0
UKR,0.8172351678735381,0.09047259583939404,27,64.52561341376034,0.69161403,0,1.0
LVA,0.5615499886130699,0.12288642455171195,25,64.20678742476284,0.6951932,1,1.0
ROU,0.6382356551961827,0.17865654500091077,26,65.54062258400185,0.7199981,1,2.0
NRU,1.3715450886849418,0.1307659016075512,24,65.99437004062511,0.72722185,0,1.0
IOT,2.1437750069151638,0.09472987457126647,31,65.45284302615812,0.73231304,1,3.0
BRA,0.7170197369679548,0.07911261569924521,25,65.23717862297642,0.7329278,1,3.0
MLT,1.2259757111290515,0.07204069898120413,27,66.34550423904473,0.7478576,0,1.0
STP,1.8205280924566107,0.08932865088288411,34,66.71591189462004,0.75437564,0,1.0
HKG,0.7324248063788856,0.05092458201378691,29,63.73365659373747,0.760568,1,0.5
KNA,2.183342253011535,0.04719189518932143,20,66.01939376650662,0.8038972,-3,4.0
GIB,1.9524669073323686,0.22266207655996684,37,65.80638993999034,0.81559485,0,2.0
BLR,0.7215253352747916,0.12794065262729604,25,64.57204341471923,0.85381156,0,1.0
SPM,2.115020959590147,0.17209213089163478,23,65.47960804539328,0.88263535,1,2.0
AIA,0.8757428059166306,0.03311213456032458,29,65.9226976771729,0.88454133,1,0.5
MNP,2.1611577978346266,0.10825135188420121,24,66.18393519100047,0.89303756,0,2.0
CHN,0.5396342079733302,0.025406611393756662,27,63.60434827785462,0.8956076,-3,0.5
ESP,0.5054079642782943,0.06785126584446377,30,64.84789541593703,0.8995294,1,3.0
THA,0.6000528624050732,0.12008440375797325,41,65.21565191692973,0.9208214,1,1.0
SHN,2.2127212129265206,0.22166195325264937,31,62.57385871530766,0.92472386,0,3.0
EST,0.7654498416500816,0.09793284386001588,28,65.2244548576924,0.9369013,1,0.5
SAU,1.6257754398255078,0.06360166062131134,44,64.05167982643869,0.944329,0,1.0
CCK,1.551840407657849,0.21573578851079567,21,65.5889081989628,0.9451571,0,2.0
MSR,2.4973344383672686,0.27036319622759375,24,62.958838009385545,0.9530771,0,3.0
ABW,2.0389487056226945,0.20424824369961314,29,65.00034814848959,0.9636009,1,3.0
RUS,0.618912907949855,0.07893441586440231,35,65.60517310881157,1.0014845,1,1.0
VGB,1.7139910310587942,0.05087640109152447,30,64.71567460831491,1.0320452,1,1.0
BES,2.0898837229844123,0.13379644080514952,31,65.64043723055673,1.133962,1,2.0
NOR,0.8515244097880871,0.0825879995503761,31,65.96743190894864,1.135875,1,1.0
CAN,0.6088683119361793,0.10222606237362597,23,64.25052633862724,1.1409626,1,1.0
POL,0.5282284666237168,0.11075995374475656,29,65.79209728330227,1.1878208,1,0.5
DNK,0.5433779058311045,0.1381237470011072,22,65.70481699054949,1.2240213,1,1.0
ITA,0.3699872244883182,0.20554275515573972,25,65.54652214129418,1.2337152,1,2.0
MYS,0.7788099743445809,0.1145604281817727,26,66.44273549837246,1.2454674,1,1.0
MEX,1.0834868740422807,0.13515143530794105,29,65.77138043798426,1.2849209,0,1.0
ISR,0.7679594052105557,0.11125699212071427,26,65.94746719253695,1.2948551,0,2.0
NLD,0.46494369309425493,0.10733829507609416,24,64.9881294552067,1.3920779,0,3.0
IRL,0.8843989443667051,0.16922350690711185,25,66.33561348754363,1.4158225,1,2.0
SVK,0.8516274924491684,0.09622326587941477,33,66.73069541040438,1.4200618,0,1.0
NFK,1.8875947299934155,0.14605265270658674,38,65.17291495753271,1.4256244,1,2.0
HUN,0.7569526785631591,0.1735492149139265,28,64.91957731325077,1.4353462,0,4.0
WLF,2.1055637889641496,0.18304980946049287,28,66.18943732321624,1.4732385,1,3.0
FRA,0.7030813630238553,0.14644310344873468,21,65.46403675073174,1.5132607,1,2.0
SVN,0.8159396730500812,0.0791210236905604,31,64.71642054164377,1.526934,1,0.5
BEL,0.45881137124632304,0.181926663854433,32,65.83846823897912,1.5318094,0,1.0
GBR,0.383362106488944,0.15778847119725858,25,65.97252383472676,1.6140696,1,1.0
LUX,0.6900288476302445,0.09646127544391891,20,65.42606494300605,1.6206082,1,1.0
NIU,2.3103043866317905,0.07917846476980672,29,65.59813463773466,1.7066593,0,1.0
AUT,0.4532687117325764,0.12446974564315638,15,64.92252447148806,1.7231672,-3,4.0
FIN,0.42666172413760795,0.20208019532439292,32,65.20918275465567,1.7800996,1,4.0
CZE,0.8100578287567716,0.07332553933083219,29,64.619866980376,1.7814329,0,4.0
SWE,0.4332737396157317,0.16045763718632577,20,66.234935240295,1.8912748,1,1.0
USA,0.41423061228740626,0.2041875007408248,37,66.37679714417267,1.8995748,0,1.0
S19,0.6031983859484302,0.23879323855570123,36,66.64689862055643,1.9637338,1,2.0
SGP,0.8937259860852973,0.1775036610205598,25,66.81397386401697,1.9750595,1,2.0
KOR,0.7223373315338615,0.1433881273235763,28,66.37333207554664,2.0764391,1,3.0
CHE,0.8379231491799685,0.08664452536498679,25,65.85860515292904,2.2117128,1,1.0
DEU,0.596149315952271,0.1738800351464933,33,65.6493203062717,2.2165966,1,2.0
JPN,0.6809296083906032,0.19754464149932316,25,65.31598218036326,2.5282195,1,3.0
